CourseNo,CourseTitle,TermsOffered,Credits,Instructor,Description
CSC1000,Teaching Assistantship,1,Internship,Daniel Gildea,Graduate teaching assistantship in Computer Science.
CSC1001,Research Assistantship,3,Research,,Graduate research assistantship in Computer Science.
CSC131,Recreational Graphics,1,4.0,Thaddeus Pawlicki,"A hands on introduction to 3D computer graphics and animation techniques taught from a user point of view. Topics include 3D modeling, animation, and simulation. Assessment based on projects. No written exams. If the course is closed, DO NOT email the professor. Fill out this form to be added to the waitlist: https://goo.gl/forms/IyFoIfjrtISvJls62. Additional places, if any, will become available automatically."
CSC161,Introduction to Programming,7,4.0,Richard Sarkis,"Hands-on introduction to programming using the Python programming language. Covers basic programming constructs including statements, expressions, variables, conditionals, iteration, and functions, as well as object-oriented programming and graphics. Recommended for non-majors, and/or students with less math and science background. Lab and workshop required."
CSC162,Data Structures & Algorithms in Python,4,4.0,Alan Beadle,"Computers are universal tools to store and process information. The storage part is organized as data structures; the processing part is captured as algorithms. Together, these form the heart of every computer application (in science, government, business, and the arts), on every kind of information (pictures, numbers, sound, and text). We will study the most fundamental data structures and algorithms as a means of using computers more effectively, and as preparation for more advanced study in CS and related fields."
CSC170,Intro to Web Development,7,4.0,Robert Kostin,"An introduction to the World Wide Web and related technologies. Topics include HTML5 and CSS3, Progressive Enhancement, and Web page design. Emphasis is placed on fundamentals, industry standards and best practices. Additional topics include: web site construction techniques, mobile design issues, and Search Engine Optimization (SEO). Programming with JavaScript will be introduced."
CSC171,Introduction to Computer Science,7,4.0,Adam Purtee,Hands-on introduction to programming using the Java programming language. Teaches fundamentals of programming and more advanced topics. Emphasizes algorithmic thinking and computational problem solving and provides an introduction to the concepts and methods used in Computer Science. Required for all CSC majors. STUDENTS MUST REGISTER FOR A WORKSHOP AND LAB WHEN REGISTERING FOR THE MAIN COURSE.
CSC172,Data Structures & Algorithms,7,4.0,Thaddeus Pawlicki,"Abstract data types (e.g., sets, mappings, and graphs) and their implementation as concrete data structures in Java. Analysis of the running times of programs operating on such data structures, and basic techniques for program design, analysis, and proof of correctness (e.g., induction and recursion). Lab and workshop required. Prerequisites: CSC 171 or equivalent, MTH 150."
CSC173,Computation & Formal Systems,3,4.0,George Ferguson,"<span>An introduction to some of the most important formal models of computation, and their application to real-world computing problems.</span> Prerequisites: CSC 172 and MTH 150. Audits are not allowed."
CSC174,Adv Front End Web Developmnt,4,4.0,Robert Kostin,"&#34;Front-end&#34; is an industry term that refers to the focus on HTML, CSS and JavaScript, which differentiates this course from the formal programming courses. Topics include information architecture, visual design, and use of client libraries (mostly JS); we will also cover Content Management Systems and introduce web databases using PHP and MySQL. If the course is closed, DO NOT email the professor. Prerequisite: CSC 170"
CSC191,Machines & Consciousness,2,4.0,Lenhart Schubert,"<span>Can machines show self-awareness? Could robots and other machines have subjective sensory and emotional experiences? Could they have a moral sense? These questions are becoming increasingly relevant in our age of increasingly intelligent machines. We will explore these issues through readings from the AI literature as well as from philosophy and cognitive science. Homework will include written answers to questions, essays, 2 Lisp exercises and -- for 291 students only -- a team programming project intended to demonstrate the possibility of some degree of self-awareness in a computer. The course is optionally available for writing credit.</span>"
CSC200,Undergraduate Problem Seminar,2,4.0,Chen Ding,"<div><p><span>Intensive seminar on cooperative problem solving. Overview of the subdisciplines and the research of the University of Rochester’s computer science faculty.  Instruction and practice on research methodology and procedures.  Students taking CSC 200H may have additional rea<span>ding</span>, assignments or projects. 200H is required for the Honors B.S. in Computer Science.</span></p></div><div><p></p></div><div><p>Students who participate or intend to participate in research are well advised to take CSC 200/200H.</p></div><div><p></p></div><div><p>The topic may vary from year to year, and the spring 2021 offering has an additional focus on program correctness.  It is not just &#34;the programmer&#39;s responsibility to produce a correct program but also to demonstrate its correctness in a convincing manner.&#34; (Dijkstra)   The material includes type systems, program safety, deductive logic, and machine-checked proofs.  It includes theory, i.e. the Curry-Howard correspondence, and practice, i.e. programming in Rust and Coq. </p></div>"
CSC200H,Honors Undergraduate Problem Seminar,2,4.0,Chen Ding,"<div><p><span>Intensive seminar on cooperative problem solving. Overview of the subdisciplines and the research of the University of Rochester’s computer science faculty.  Instruction and practice on research methodology and procedures.  Students taking CSC 200H may have additional rea<span>ding</span>, assignments or projects. 200H is required for the Honors B.S. in Computer Science.</span></p></div><div><p></p></div><div><p>Students who participate or intend to participate in research are well advised to take CSC 200/200H.</p></div><div><p></p></div><div><p>The topic may vary from year to year, and the spring 2021 offering has an additional focus on program correctness.  It is not just &#34;the programmer&#39;s responsibility to produce a correct program but also to demonstrate its correctness in a convincing manner.&#34; (Dijkstra)   The material includes type systems, program safety, deductive logic, and machine-checked proofs.  It includes theory, i.e. the Curry-Howard correspondence, and practice, i.e. programming in Rust and Coq. </p></div><div><p></p></div><div><p>CSC 200H students propose and complete a final project in cooperative problem solving in an area of computer science research.  They are required to attend computer science department colloquiums when their schedule permits.</p></div>"
CSC210,Web Programming,1,4.0,Robert Kostin,"The World Wide Web was born around 1990, so it is not much older than most of you. In this course, we will follow the growth of the Web from its toddler years, to early childhood, to its turbulent pre-teen and teenage years, and finally as it begins to mature as a young adult. Along this journey, you will learn influential Web technologies such as HTTP, HTML, JavaScript, CSS, the LAMP stack, XML, JSON, Ajax, WebSockets, and modern MVC frameworks. Even though you will be doing a lot of programming in this course, its purpose is not to teach you to become an expert in any particular language or framework. Web technologies change at a blistering pace, so specifics quickly get outdated. However, once you take this course and understand the fundamentals, you will be able to easily pick up new technologies on the fly. *No audits will be allowed for this course. Prerequisites: CSC 172"
CSC211,Introduction to HCI,1,4.0,Zhen Bai,"<span>The goal of this course is to provide an introductory overview of the concepts, principles, methods and special topics of Human-Computer Interaction (HCI). This course will help students to build a frame of reference of HCI approaches and apply them in conducting design practices for real-world problems. This course contains a combination of lectures, seminars and group projects. The lectures will cover origins of HCI and interaction design, user-centered design methods, usability evaluation and user experience. The seminars will be a combination of guest lecturers and student-led discussions to introduce special topics in HCI, which may include Augmented and Virtual Reality, Tangible User Interface, Human-Robot Interaction, learning technologies, and assistive technologies. The group project will take place throughout the course and provide an opportunity for students to apply and reflect on HCI methods and user-centered design processes through contextual inquiry, prototyping, evaluation, iteration and presentation. Prerequisites: CSC 172. CSC 214 is recommended. </span>"
CSC212,Human Computer Interaction,2,4.0,Ehsan Hoque,"The course will explore the design, implementation, and evaluation of user-driven prototypes to be used by real users. Students will study the theoretical methods for design and evaluation, including requirements gathering, survey design, ethnography, rapid prototyping, and evaluation techniques. The theoretical knowledge will be supplemented with hands-on group projects including a final project. The final project will involve interactions with real-users along with a working prototype which hopefully could be deployed and used by people beyond the scope of this course.Prerequisites: CSC 172 and CSC 242."
CSC214,Mobile App Development,7,4.0,Arthur Roolfs,"<span>Coursework covers user interface designs and functional algorithms for mobile devices (iOS summer/fall, Android spring) and unique user interactions using multi-touch technologies. Object-oriented design including model-view-controller paradigm, memory management. Other topics include: object-oriented database API, animation, webservices and performance considerations. </span> Prerequisites: CSC 172"
CSC229,Computer Models of Perception & Cognition,1,4.0,Robert Jacobs,"How can computer models help us understand how people perceive and reason about their environments? This course addresses this question, with emphasis placed on how people use probabilistic reasoning in order to represent and manage ambiguity and uncertainty for the purpose of making intelligent decisions. The course is relevant to students with interests in computational studies of human perception and cognition, and to students with interests in artificial intelligence. Homework assignments will require students to write computer programs using the Python programming language.</p><p>Prerequisites: MATH 161, MATH 162, and CSC 161 (or equivalent proficiency in Python programming) required. MATH 164, MATH 165, and/or STAT 213 are helpful but not required."
CSC240,Data Mining,3,4.0,Thaddeus Pawlicki,"Fundamental concepts and techniques of data mining, including data attributes, data visualization, data pre-processing, mining frequent patterns, association and correlation, classification methods, and cluster analysis. Advanced topics include outlier detection, stream mining, and social media data mining. CSC 440, a graduate-level course, requires additional readings and a course project. <span>Prerequisites will be strictly enforced: CSC171, CSC 172 and MTH 161. Recommended: CSC 242 or CSC262; MTH165.</span>"
CSC241,Computational Neuro - Recitation,2,Recitation,Ralf Haefner,This is a rotating topics course that includes the study of both the computations performed by the brain and of computational models of neuronal responses. Primary focus will be on the visual system. This course is taught at an introductory level in odd numbered years and an advanced level in even numbered years. Programming experience is required.
CSC242,Artificial Intelligence,3,4.0,George Ferguson,"Introduces fundamental principles and techniques from Artificial Intelligence, including heuristic search, automated reasoning, handling uncertainty, and machine learning, to prepare students for advanced AI courses. This course is available to majors only during the registration period. Prerequisites: CSC 172 and MTH 150; CSC 173 STRONGLY Recommended. audits not allowed."
CSC244,Knowledge Rep&Reason in Ai,1,4.0,Lenhart Schubert,"The logical foundations of AI including first-order logic, reasoning, knowledge representation, planning, and probabilistic inference."
CSC246,Machine Learning,2,4.0,Adam Purtee,"Mathematical foundations of classification, regression, and decisionmaking. Perceptron algorithm, logistic regression, and support vector machines. Numerical parameter optimization, including gradientdescent and quasi-Newton methods. Expectation Maximization. Hidden Markov models and reinforcement learning. Principal Components Analysis. Learning theory including VC-dimension and PAC learning guarantees. Prerequisites: MATH 164 &amp; MATH 165, <span>CSC 242 (and therefore CSC 172)  strongly recommended.</span>"
CSC247,Natural Language Processing,2,4.0,James Allen,"This course addresses issues of representing computing meaning from natural language, especially issues of understanding language in context using commonsense knowledge of the world. Topics will include a survey of English phrase structure and parsing, semantic representation (e.g., events, semantic roles, time, causality and speech acts), and theories and techniques for understanding language in context, including intention recognition, text understanding using knowledge of scripts and plans, and models of spoken dialogue systems (e.g., conversational agents such as Siri). CSC447, the graduate level version of the course, requires a substantial individual project. Prerequisite: CSC 242"
CSC248,Stat Speech&Lang Processing,1,4.0,Daniel Gildea,"An introduction to statistical natural language processing and automatic speech recognition techniques. This course presents the theory and practice behind the recently developed language processing technologies that enable applications such as speech-driven dictation systems, document search engines (e.g., finding web pages) and automatic machine translation. Students taking this course at the 400 level will be required to complete additional readings and/or assignments. Prerequisites: CSC 172 and CSC 242."
CSC249,Machine Vision,3,4.0,Jiebo Luo,"<span>Introduction to computer vision, including camera models, basic image processing, pattern and object recognition, and elements of human vision. Specific topics include geometric issues, statistical models, Hough transforms, color theory, texture, and optic flow. CSC 449, a graduate-level course, requires additional readings and assignments.Prerequisites: MATH 161 and CSC 242; MATH 165 strongly recommended</span></p><p>"
CSC252,Computer Organization,3,4.0,Yuhao Zhu,"Introduction to computer architecture and the layering of hardware/software systems. Topics include instruction set design; logical building blocks; computer arithmetic; processor organization; the memory hierarchy (registers, caches, main memory, and secondary storage); I/Obuses, devices, and interrupts; microcode and assembly language; virtual machines; the roles of the assembler, linker, compiler, and operating system; technological trends and the future of computing hardware. Several programming assignments required. Prerequisites: MTH 150 and CSC 172"
CSC253,Collaborative Programming and Software Design,1,4.0,Chen Ding,"Modern software is complex and more than a single person can fully comprehend. This course teaches the principles and techniques of writing modular and composable code and collaborating with others in software design. The topics include advanced concepts and techniques in modern programming languages, principles of modularity, software architecture, design patterns, software development processes, and other examples of software design. A significant portion of the assignment is a group project to develop a groupware system. Students enrolled in the class are expected to already have significant programming experience in some languages. The programming languages used in lectures are mainly Ruby and Haskell. Prerequisites: CSC 172, or equivalent. CSC 252 and CSC 254 recommended."
CSC254,Programming Language Design & Implementation,1,4.0,Michael Scott,"Design and implementation of programming languages, with an emphasis on imperative languages and on implementation tradeoffs. In-depth examination of &#39;how programming languages work.&#39; Topics include fundamental language concepts (names, values, types, abstraction, control flow); compilation and interpretation (syntactic and semantic analysis, code generation and optimization); major language paradigms (imperative, object-oriented, functional, logic-based, concurrent). Course projects include assignments in several different languages, with an emphasis on compilation issues. Prerequisites: CSC 173 and CSC 252, or equivalent."
